Title,ViewCount,URL,Thumbnail,PublishedAt,DurationSec,Rank
ギネス記録あるある,18821748,https://www.youtube.com/watch?v=u7N69PdQDPo,https://i.ytimg.com/vi/u7N69PdQDPo/hqdefault.jpg,2021-09-21T12:00:33Z,7,1
ディベート対決「黒vs白」,13050878,https://www.youtube.com/watch?v=jLJVJmkUsnI,https://i.ytimg.com/vi/jLJVJmkUsnI/hqdefault.jpg,2022-08-21T12:00:16Z,8,2
合格発表あるある,9994904,https://www.youtube.com/watch?v=X0TrzwXKZ-Y,https://i.ytimg.com/vi/X0TrzwXKZ-Y/hqdefault.jpg,2021-09-04T12:00:15Z,7,3
話は少し盛るくらいがいい,9988530,https://www.youtube.com/watch?v=NBFkZuTftqc,https://i.ytimg.com/vi/NBFkZuTftqc/hqdefault.jpg,2021-08-14T12:00:08Z,7,4
「ルビィちゃん！何が好き〜？」30ヶ国語で逆翻訳したらエグいことになった【愛♡スクリ〜ム！】,9936012,https://www.youtube.com/watch?v=1G-3wi7hh_w,https://i.ytimg.com/vi/1G-3wi7hh_w/hqdefault.jpg,2025-05-09T09:00:07Z,74,5
６秒でわかる選挙の仕組み,9551488,https://www.youtube.com/watch?v=HBD0AagCmmQ,https://i.ytimg.com/vi/HBD0AagCmmQ/hqdefault.jpg,2021-10-30T09:00:07Z,7,6
巨大テトリス作ってプレイしたら物理が難しすぎた,9503752,https://www.youtube.com/watch?v=pIEOFjzYP9U,https://i.ytimg.com/vi/pIEOFjzYP9U/hqdefault.jpg,2021-10-24T12:00:32Z,54,7
頭ゾワゾワするやつ買った,9236162,https://www.youtube.com/watch?v=GDOAcEBY_Mo,https://i.ytimg.com/vi/GDOAcEBY_Mo/hqdefault.jpg,2024-05-30T11:11:25Z,25,8
人類衰退ボール,8272125,https://www.youtube.com/watch?v=WZ9OnEnd9F0,https://i.ytimg.com/vi/WZ9OnEnd9F0/hqdefault.jpg,2021-11-17T12:00:32Z,7,9
「パフェいわし」３ヶ国語で逆翻訳したら系列店がオープンした,6451175,https://www.youtube.com/watch?v=7to2d4n3uec,https://i.ytimg.com/vi/7to2d4n3uec/hqdefault.jpg,2023-08-04T11:45:00Z,58,10
強すぎた和田アキ子,5653392,https://www.youtube.com/watch?v=r8I91AAopoc,https://i.ytimg.com/vi/r8I91AAopoc/hqdefault.jpg,2024-04-21T11:00:47Z,29,11
ハロウィンなので機械音痴ニキの詰め合わせコスプレをしました,5581431,https://www.youtube.com/watch?v=Pt0gnWMGjBM,https://i.ytimg.com/vi/Pt0gnWMGjBM/hqdefault.jpg,2024-10-31T08:40:21Z,11,12
「何やってるんですか勉強してください」70ヶ国語で逆翻訳したらとても勉強になった,5567523,https://www.youtube.com/watch?v=DG3A5FEWpn8,https://i.ytimg.com/vi/DG3A5FEWpn8/hqdefault.jpg,2025-05-06T10:11:03Z,40,13
麻雀牌でしか喋ることができない学園ドラマ２ #Shorts,5157153,https://www.youtube.com/watch?v=kWxguxQMDtg,https://i.ytimg.com/vi/kWxguxQMDtg/hqdefault.jpg,2022-05-22T12:00:31Z,60,14
5年前7秒だけYouTuberになった,4718930,https://www.youtube.com/watch?v=Xhjlvvke61Q,https://i.ytimg.com/vi/Xhjlvvke61Q/hqdefault.jpg,2021-05-30T12:42:42Z,7,15
人の家で勝手に「人の家SASUKE」が開幕です,4394358,https://www.youtube.com/watch?v=pPcWEZTq4Is,https://i.ytimg.com/vi/pPcWEZTq4Is/hqdefault.jpg,2021-12-11T12:00:36Z,60,16
限界の妻,4294171,https://www.youtube.com/watch?v=LuSV-5CA0nY,https://i.ytimg.com/vi/LuSV-5CA0nY/hqdefault.jpg,2022-01-06T12:00:10Z,6,17
「西山ダディダディ」5ヶ国語で逆翻訳したら全然盛り上がらなくなった,4276640,https://www.youtube.com/watch?v=AW_mgzRYcMw,https://i.ytimg.com/vi/AW_mgzRYcMw/hqdefault.jpg,2025-03-23T09:00:18Z,86,18
AI生成映像の中に紛れ込んでみた,4244181,https://www.youtube.com/watch?v=j4kljMg1nT4,https://i.ytimg.com/vi/j4kljMg1nT4/hqdefault.jpg,2025-07-12T07:06:36Z,28,19
うちのかわいい味ぽんを見てよ,4178927,https://www.youtube.com/watch?v=Qac8IyRSBjo,https://i.ytimg.com/vi/Qac8IyRSBjo/hqdefault.jpg,2022-07-12T12:00:14Z,12,20
「右肩の蝶」30ヶ国語まで何度も逆翻訳したら引きこもりじゃなくなった,4037327,https://www.youtube.com/watch?v=j8io76tAUAA,https://i.ytimg.com/vi/j8io76tAUAA/hqdefault.jpg,2025-06-22T09:01:06Z,56,21
わかれました #shorts,3438522,https://www.youtube.com/watch?v=YXfRCdLtFbo,https://i.ytimg.com/vi/YXfRCdLtFbo/hqdefault.jpg,2024-09-02T08:43:25Z,60,22
チェンソーマンOP「KICK BACK」5ヶ国語で逆翻訳したら主役が変わった #shorts,2844672,https://www.youtube.com/watch?v=UNZeGcueRso,https://i.ytimg.com/vi/UNZeGcueRso/hqdefault.jpg,2022-11-17T11:45:01Z,60,23
This is NIPPON「寿司」 #shorts,2739926,https://www.youtube.com/watch?v=OCNs48s4aa4,https://i.ytimg.com/vi/OCNs48s4aa4/hqdefault.jpg,2022-10-05T12:00:29Z,9,24
This is NIPPON「おにぎり」 #shorts,2709871,https://www.youtube.com/watch?v=wqqtZ3CTeoU,https://i.ytimg.com/vi/wqqtZ3CTeoU/hqdefault.jpg,2022-11-10T12:00:40Z,27,25
「夜に駆ける」5か国語で逆翻訳したら駆ける理由が判明した【ガムテ衣装で歌う】,2647390,https://www.youtube.com/watch?v=F2BRMlXjRPI,https://i.ytimg.com/vi/F2BRMlXjRPI/hqdefault.jpg,2020-06-18T12:00:14Z,277,26
眠れ！メイドイン・ナイトルーティン #shorts,2591565,https://www.youtube.com/watch?v=k2hBx_CLcxs,https://i.ytimg.com/vi/k2hBx_CLcxs/hqdefault.jpg,2022-11-02T11:45:01Z,58,27
ニトリ「NクールのCM」70ヶ国語で逆翻訳したら布団から追い出された,2520808,https://www.youtube.com/watch?v=DLZbgXaK_Fk,https://i.ytimg.com/vi/DLZbgXaK_Fk/hqdefault.jpg,2025-05-13T11:11:37Z,65,28
「スシ食いねェ！」5か国語で逆翻訳したら大将が転職してしまった,2485629,https://www.youtube.com/watch?v=S6TkKDbVghw,https://i.ytimg.com/vi/S6TkKDbVghw/hqdefault.jpg,2020-07-19T13:30:11Z,231,29
「ｴｯﾎｴｯﾎ」50ヶ国語で逆翻訳したら恐ろしいことに巻き込まれた,2443638,https://www.youtube.com/watch?v=_3OApXR2gYo,https://i.ytimg.com/vi/_3OApXR2gYo/hqdefault.jpg,2025-05-20T11:37:02Z,70,30
