Title,ViewCount,URL,Thumbnail,PublishedAt,DurationSec,Rank
【HoI4】史上最長の激闘…視聴者が送って来た大日本帝国が苦し過ぎる。【ゆっくり実況】絶望セーブ＃１３,1208250,https://www.youtube.com/watch?v=iu2vdbhi7XA,https://i.ytimg.com/vi/iu2vdbhi7XA/hqdefault.jpg,2024-02-16T04:00:28Z,2270,1
【HoI4】超巨大コミンテルンと死闘…視聴者が送ってきた世紀末日本で大逆転。【ゆっくり実況】絶望セーブ＃１９,718892,https://www.youtube.com/watch?v=jhf5tggMg9w,https://i.ytimg.com/vi/jhf5tggMg9w/hqdefault.jpg,2024-06-21T04:00:34Z,2201,2
【Hearts of Iron Ⅳ】太平洋の帝国 -神武作戦発動- 【ゆっくり実況】後篇【物語風】,583778,https://www.youtube.com/watch?v=cV4scqKWMQ0,https://i.ytimg.com/vi/cV4scqKWMQ0/hqdefault.jpg,2019-03-30T06:16:49Z,2207,3
【HoI4】遂に公式が病気になったようです…。【ゆっくり実況】 #hoi4,501157,https://www.youtube.com/watch?v=pH632myL1mw,https://i.ytimg.com/vi/pH632myL1mw/hqdefault.jpg,2025-03-14T03:00:51Z,57,4
【HoI4】終戦記念日なので日本で開戦日までに終戦させてみた【ゆっくり実況】,479945,https://www.youtube.com/watch?v=cm8ADm5FLwU,https://i.ytimg.com/vi/cm8ADm5FLwU/hqdefault.jpg,2024-08-15T04:00:33Z,671,5
【HoI4】日米開戦日だから大和型戦艦30隻以上建造して敵海軍ぶちのめしてみたｗｗｗｗ【ゆっくり実況】part438,474805,https://www.youtube.com/watch?v=PPzfJbd3nD8,https://i.ytimg.com/vi/PPzfJbd3nD8/hqdefault.jpg,2022-12-08T04:00:07Z,1101,6
【HoI4】もう死んだ後！？視聴者が送って来たフランスが最早ただの拷問【ゆっくり実況】絶望セーブ＃１０,469276,https://www.youtube.com/watch?v=60EOBYcjgf4,https://i.ytimg.com/vi/60EOBYcjgf4/hqdefault.jpg,2024-01-12T04:00:02Z,1827,7
【Hearts of Iron Ⅳ】太平洋の帝国 -大陸封鎖電撃作戦- 【ゆっくり実況】前篇【物語風】,450699,https://www.youtube.com/watch?v=E5RlJ9P6yAs,https://i.ytimg.com/vi/E5RlJ9P6yAs/hqdefault.jpg,2019-03-25T01:21:10Z,1116,8
【HoI4】マルチプレイ視聴者から来た艦隊9隻だけの日本がヤバ過ぎる…。【ゆっくり実況】絶望セーブ＃５,443193,https://www.youtube.com/watch?v=naKnx33ZW64,https://i.ytimg.com/vi/naKnx33ZW64/hqdefault.jpg,2023-12-06T04:00:18Z,1686,9
【HoI4】まるでパズルゲー、PvP視聴者が送ってきたソ連が攻略出来ぬ…。【ゆっくり実況】絶望セーブ＃１８,438711,https://www.youtube.com/watch?v=K1iffNyivi0,https://i.ytimg.com/vi/K1iffNyivi0/hqdefault.jpg,2024-06-07T04:00:14Z,2378,10
【HoI4】この動画１本でOK!! 大国なのに難易度が高すぎる「大日本帝国」の史実ルートを内政から戦争まで全て解説します。【ゆっくり実況】,395913,https://www.youtube.com/watch?v=AuJRmkaJfsM,https://i.ytimg.com/vi/AuJRmkaJfsM/hqdefault.jpg,2023-07-17T04:00:03Z,6620,11
【HoI4】どうしてこうなった？視聴者が送って来たイタリアがガチ絶望です…。【ゆっくり実況】絶望セーブ＃６,348586,https://www.youtube.com/watch?v=2oecnGUnUf4,https://i.ytimg.com/vi/2oecnGUnUf4/hqdefault.jpg,2023-12-13T04:00:01Z,1651,12
【HoI4】単独でNATOと戦争？視聴者が送って来たユーゴスラビアが絶望【ゆっくり実況】絶望セーブ＃１１,341955,https://www.youtube.com/watch?v=tYv27PczCpU,https://i.ytimg.com/vi/tYv27PczCpU/hqdefault.jpg,2024-01-22T04:00:22Z,1558,13
【HoI4】兵士無限なのに再走10回以上…視聴者が送ってきた特殊国家を救済【ゆっくり実況】絶望セーブ＃２０,310040,https://www.youtube.com/watch?v=yyhnCIyPD48,https://i.ytimg.com/vi/yyhnCIyPD48/hqdefault.jpg,2024-07-12T04:00:42Z,1938,14
【HoI4】完成まで17年掛かるゲーム最強兵器を知っているか【ゆっくり実況】,308960,https://www.youtube.com/watch?v=Q4m1YsFV29E,https://i.ytimg.com/vi/Q4m1YsFV29E/hqdefault.jpg,2025-05-19T04:00:29Z,793,15
【HoI4】視聴者が諦めた戦線崩壊寸前のドイツを救ってみた【ゆっくり実況】絶望セーブ＃２,286882,https://www.youtube.com/watch?v=g1CU-588mZQ,https://i.ytimg.com/vi/g1CU-588mZQ/hqdefault.jpg,2023-11-15T04:00:14Z,1071,16
【HoI4】どうやって勝つの？？？視聴者が送ってきたデンマークが絶望【ゆっくり実況】絶望セーブ＃１４,278889,https://www.youtube.com/watch?v=ONbtZC5YlAs,https://i.ytimg.com/vi/ONbtZC5YlAs/hqdefault.jpg,2024-03-11T04:00:09Z,1518,17
【HoI4】視聴者が送ってきた本土決戦日本を救済する【ゆっくり実況】絶望セーブ＃２９,269575,https://www.youtube.com/watch?v=4CZRPL55XrA,https://i.ytimg.com/vi/4CZRPL55XrA/hqdefault.jpg,2025-07-18T04:00:08Z,1325,18
【HoI4】特殊プレイ視聴者が送って来たソ連のセーブデータがヤベぇ…。【ゆっくり実況】絶望セーブ＃３,263360,https://www.youtube.com/watch?v=9EOgQ1gBiBY,https://i.ytimg.com/vi/9EOgQ1gBiBY/hqdefault.jpg,2023-11-22T04:00:06Z,1364,19
【HoI4 ver1.12解説】ドイツで世界大戦を制すチュートリアル動画爆誕!! これ１本で購入から内政、戦争に講和まで全て分かります!!【ゆっくり実況】,259049,https://www.youtube.com/watch?v=f7EPaWvyU6o,https://i.ytimg.com/vi/f7EPaWvyU6o/hqdefault.jpg,2023-04-27T04:00:16Z,7439,20
