Title,ViewCount,URL,Thumbnail,PublishedAt,DurationSec,Rank
寝る前に見るべきアニメ,15791615,https://www.youtube.com/watch?v=Vt-GSRKrbOU,https://i.ytimg.com/vi/Vt-GSRKrbOU/hqdefault.jpg,2020-02-24T10:03:20Z,139,1
【アニメ】この線から内側は俺の陣地な,9783256,https://www.youtube.com/watch?v=pQ3__j2HeiU,https://i.ytimg.com/vi/pQ3__j2HeiU/hqdefault.jpg,2020-04-30T11:00:24Z,126,2
【アニメ】天使と悪魔が財布盗ませようとしてくる,8402279,https://www.youtube.com/watch?v=YKaWsA-tk6g,https://i.ytimg.com/vi/YKaWsA-tk6g/hqdefault.jpg,2020-07-25T10:00:11Z,102,3
LINEの会話が盛り上がって抜け出せないアニメ,7871457,https://www.youtube.com/watch?v=2nlck6Io_qM,https://i.ytimg.com/vi/2nlck6Io_qM/hqdefault.jpg,2020-03-09T09:00:01Z,108,4
決めゼリフだけで会話が成り立つアニメ,7558680,https://www.youtube.com/watch?v=3GMI2LuUnpw,https://i.ytimg.com/vi/3GMI2LuUnpw/hqdefault.jpg,2020-04-03T09:00:05Z,128,5
【アニメ】ツッコミをすると服が破けるお食事会バトル,7471075,https://www.youtube.com/watch?v=wlSr6M99XeA,https://i.ytimg.com/vi/wlSr6M99XeA/hqdefault.jpg,2019-12-25T09:00:12Z,80,6
【アニメ】確実に勝ち目のない裁判,7453534,https://www.youtube.com/watch?v=PSm3S1WPk5I,https://i.ytimg.com/vi/PSm3S1WPk5I/hqdefault.jpg,2021-01-08T10:00:08Z,143,7
【アニメ】狂った奴しかいないバンジージャンプ,6940091,https://www.youtube.com/watch?v=8bsDdzNP9lk,https://i.ytimg.com/vi/8bsDdzNP9lk/hqdefault.jpg,2021-04-11T10:00:06Z,139,8
【アニメ】情報量が多すぎるオンライン飲み会,6800860,https://www.youtube.com/watch?v=JKXFkJIzfRA,https://i.ytimg.com/vi/JKXFkJIzfRA/hqdefault.jpg,2020-05-05T10:00:19Z,116,9
【Twitter】元カノの裏アカを覗きます【アニメ】,6680949,https://www.youtube.com/watch?v=dY6pu1XGhrE,https://i.ytimg.com/vi/dY6pu1XGhrE/hqdefault.jpg,2020-05-20T10:00:21Z,147,10
終始「え？」ってなるアニメ【あるある】,6480345,https://www.youtube.com/watch?v=qK6Ypiddmwc,https://i.ytimg.com/vi/qK6Ypiddmwc/hqdefault.jpg,2020-03-05T10:00:13Z,89,11
ぱちょふぁそまちょぱ　3時間13分58秒耐久,6436300,https://www.youtube.com/watch?v=q2ZHNqHNTqM,https://i.ytimg.com/vi/q2ZHNqHNTqM/hqdefault.jpg,2020-04-25T13:15:02Z,11638,12
【アニメ】ガリ勉による模範的なコンビニ強盗,6386396,https://www.youtube.com/watch?v=QyWRfEzENeE,https://i.ytimg.com/vi/QyWRfEzENeE/hqdefault.jpg,2021-04-09T10:00:22Z,151,13
【アニメ】とち狂ってる飲食店,6290196,https://www.youtube.com/watch?v=PbQIYQlNHJg,https://i.ytimg.com/vi/PbQIYQlNHJg/hqdefault.jpg,2021-05-24T11:00:10Z,158,14
【アニメ】初対面なのに距離感バグってる人,6253900,https://www.youtube.com/watch?v=8UdgvPeqvmk,https://i.ytimg.com/vi/8UdgvPeqvmk/hqdefault.jpg,2020-04-13T10:00:09Z,139,15
【アニメ】不法侵入して捕まるサンタクロース,6239135,https://www.youtube.com/watch?v=gZv6vhyggQA,https://i.ytimg.com/vi/gZv6vhyggQA/hqdefault.jpg,2020-12-25T10:00:10Z,170,16
【アニメ】やばい奴しか乗ってないジェットコースター,6052106,https://www.youtube.com/watch?v=EqP6MoLEjvQ,https://i.ytimg.com/vi/EqP6MoLEjvQ/hqdefault.jpg,2021-03-18T10:28:35Z,151,17
最後気まずくなるアニメ,6018773,https://www.youtube.com/watch?v=djNc_7fylnw,https://i.ytimg.com/vi/djNc_7fylnw/hqdefault.jpg,2020-06-01T10:00:28Z,196,18
【アニメ】3分クッキングのスタッフにヤクザがいる,5880355,https://www.youtube.com/watch?v=Jli8n4PzUjg,https://i.ytimg.com/vi/Jli8n4PzUjg/hqdefault.jpg,2021-05-30T10:00:08Z,168,19
【アニメ】ゲームに集中出来ない実況動画【テンプルラン】,5864244,https://www.youtube.com/watch?v=hf8vOEPUgT4,https://i.ytimg.com/vi/hf8vOEPUgT4/hqdefault.jpg,2020-07-12T10:00:18Z,205,20
【アニメ】自分がブスだと気づく瞬間,5805539,https://www.youtube.com/watch?v=WJoQHahpL88,https://i.ytimg.com/vi/WJoQHahpL88/hqdefault.jpg,2021-08-29T10:00:10Z,135,21
【アニメ】一回見ても理解できないアニメ,5774319,https://www.youtube.com/watch?v=CejtWSh694E,https://i.ytimg.com/vi/CejtWSh694E/hqdefault.jpg,2020-07-13T10:00:04Z,136,22
